Name,Family,Infraorder,Suborder,Order,Informal,Avialae,Taxon Size,Diet,Max MYA,Min MYA,Lifespan (MYA),Early Age,Late Age,Early Period,Late Period
Ajkaceratops,,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,86.3,83.6,2.700000000000003,Santonian,Santonian,Upper Cretaceous,Upper Cretaceous
Turanoceratops,,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,93.9,89.8,4.1000000000000085,Turonian,Turonian,Upper Cretaceous,Upper Cretaceous
Zuniceratops,,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,93.9,89.8,4.1000000000000085,Turonian,Turonian,Upper Cretaceous,Upper Cretaceous
Bagaceratops,Protoceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,66.0,17.599999999999994,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Breviceratops,Protoceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Protoceratops,Protoceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,2,Herbivore,86.3,72.1,14.200000000000003,Santonian,Campanian,Upper Cretaceous,Upper Cretaceous
Chaoyangsaurus,Chaoyangsauridae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,152.2,132.6,19.599999999999994,Kimmeridgian,Valanginian,Upper Jurassic,Lower Cretaceous
Hualianceratops,Chaoyangsauridae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,161.5,154.8,6.699999999999989,Oxfordian,Oxfordian,Upper Jurassic,Upper Jurassic
Stenopelix,Chaoyangsauridae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,140.6,139.8,0.799999999999983,Berriasian,Berriasian,Lower Cretaceous,Lower Cretaceous
Xuanhuaceratops,Chaoyangsauridae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,152.2,132.6,19.599999999999994,Kimmeridgian,Valanginian,Upper Jurassic,Lower Cretaceous
Yinlong,Chaoyangsauridae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,161.5,154.8,6.699999999999989,Oxfordian,Oxfordian,Upper Jurassic,Upper Jurassic
Cerasinops,Leptoceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Ferrisaurus,Leptoceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,72.1,66.0,6.099999999999994,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Gremlin,Leptoceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Gryphoceratops,Leptoceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,86.3,83.6,2.700000000000003,Santonian,Santonian,Upper Cretaceous,Upper Cretaceous
Helioceratops,Archaeoceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,121.4,100.5,20.900000000000006,Aptian,Albian,Lower Cretaceous,Lower Cretaceous
Ischioceratops,Leptoceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Koreaceratops,,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,113.0,100.5,12.5,Albian,Albian,Lower Cretaceous,Lower Cretaceous
Leptoceratops,Leptoceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,72.1,66.0,6.099999999999994,Maastrichtian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Montanoceratops,Leptoceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,66.0,17.599999999999994,Campanian,Maastrichtian,Upper Cretaceous,Upper Cretaceous
Prenoceratops,Leptoceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Udanoceratops,Leptoceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Unescoceratops,Leptoceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Zhuchengceratops,Leptoceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,83.6,72.1,11.5,Campanian,Campanian,Upper Cretaceous,Upper Cretaceous
Aquilops,,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,109.9,100.5,9.400000000000006,Albian,Albian,Lower Cretaceous,Lower Cretaceous
Archaeoceratops,Archaeoceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,2,Herbivore,121.4,109.9,11.5,Aptian,Albian,Lower Cretaceous,Lower Cretaceous
Asiaceratops,Leptoceratopsidae,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,100.5,93.9,6.599999999999994,Cenomanian,Cenomanian,Upper Cretaceous,Upper Cretaceous
Auroraceratops,,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,113.0,109.9,3.0999999999999943,Albian,Albian,Lower Cretaceous,Lower Cretaceous
Beg,,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,106.2,93.9,12.299999999999997,Albian,Cenomanian,Lower Cretaceous,Upper Cretaceous
Graciliceratops,,Ceratopsia,Neornithischia,Ornithischia,False,False,1,Herbivore,100.5,83.6,16.900000000000006,Cenomanian,Santonian,Upper Cretaceous,Upper Cretaceous
